speaker,occupation,about_speaker,language
Dan Gilbert,{0: ['psychologist; happiness expert']},"{0: 'Harvard psychologist Dan Gilbert says our beliefs about what will make us happy are often wrong -- a premise he supports with intriguing research, and explains in his accessible and unexpectedly funny book, <em>Stumbling on Happiness.</em>'}",en
Barry Schwartz,{0: ['psychologist']},"{0: ""Barry Schwartz studies the link between economics and psychology, offering startling insights into modern life. Lately, working with Ken Sharpe, he's studying wisdom.""}",en
Eva Vertes,{0: ['neuroscience and cancer researcher']},"{0: ""Eva Vertes is a microbiology prodigy. Her discovery, at age 17, of a compound that stops fruit-fly brain cells from dying was regarded as a step toward curing Alzheimer's. Now she aims to find better ways to treat -- and avoid -- cancer.""}",en
Aubrey de Grey,{0: ['crusader against aging']},"{0: 'Aubrey de Grey, British researcher on aging, claims he has drawn a roadmap to defeat biological aging. He provocatively proposes that the first human beings who will live to 1,000 years old have already been born.'}",en
Jacqueline Novogratz,{0: ['investor and advocate for moral leadership']},"{0: 'Jacqueline Novogratz works to enable human flourishing. Her organization, Acumen, invests in people, companies and ideas that see capital and networks as means, not ends, to solving the toughest issues of poverty.'}",en
Iqbal Quadir,"{0: ['founder', 'grameenphone']}","{0: 'Iqbal Quadir is an advocate of business as a humanitarian tool. With GrameenPhone, he brought the first commercial telecom services to poor areas of Bangladesh. His latest project will help rural entrepreneurs build power plants.'}",en
Ashraf Ghani,{0: ['president-elect of afghanistan']},"{0: 'Ashraf Ghani, Afghanistan’s new president-elect, and his opponent, Abdullah Abdullah, will share power in a national unity government. He previously served as Finance Minister and as a chancellor of Kabul University.'}",en
Sasa Vucinic,{0: ['nonprofit venture capitalist']},"{0: ""Sasa Vucinic's Media Development Loan Fund applies venture-capital principles to create a sustainable free press in developing nations and countries emerging from repressive regimes.""}",en
Burt Rutan,{0: ['aircraft engineer']},"{0: ""In 2004, legendary spacecraft designer Burt Rutan won the $10M Ansari X-Prize for <em>SpaceShipOne,</em> the first privately funded craft to enter space twice in a two-week period. He's now collaborating with Virgin Galactic to build the first rocketship for space tourism.""}",en
Ben Saunders,{0: ['polar explorer']},"{0: 'In 2004, Ben Saunders became the youngest person ever to ski solo to the North Pole. In 2013, he set out on another record-breaking expedition, this time to retrace Captain Scott’s ill-fated journey to the South Pole on foot.'}",en
Edward Burtynsky,{0: ['photographer']},"{0: ""2005 TED Prize winner Edward Burtynsky has made it his life's work to document humanity's impact on the planet. His riveting photographs, as beautiful as they are horrifying, capture views of the Earth altered by mankind.""}",en
Robert Fischell,{0: ['biomedical inventor']},"{0: ""Robert Fischell invented the rechargeable pacemaker, the implantable insulin pump, and devices that warn of epileptic seizures and heart attacks. Yet it's not just his inventive genius that makes him fascinating, but his determination to make the world a better place. ""}",en
 Bono,"{0: ['musician', 'activist']}","{0: 'Bono, the lead singer of U2, uses his celebrity to fight for social justice worldwide: to end hunger, poverty and disease, especially in Africa. His nonprofit ONE raises awareness via media, policy and calls to action.'}",en
Michael Shermer,{0: ['skeptic']},"{0: ""Michael Shermer debunks myths, superstitions and urban legends -- and explains why we believe them. Along with publishing Skeptic Magazine, he's author of Why People Believe Weird Things and The Mind of the Market.""}",en
Peter Donnelly,{0: ['mathematician; statistician']},"{0: ""Peter Donnelly is an expert in probability theory who applies statistical methods to genetic data -- spurring advances in disease treatment and insight on our evolution. He's also an expert on DNA analysis, and an advocate for sensible statistical analysis in the courtroom.""}",en
Kevin Kelly,{0: ['digital visionary']},"{0: 'There may be no one better to contemplate the meaning of cultural change than Kevin Kelly, whose life story reads like a treatise on the value and impacts of technology.'}",en
Ray Kurzweil,"{0: ['inventor', 'futurist']}","{0: ""Ray Kurzweil is an engineer who has radically advanced the fields of speech, text and audio technology. He's revered for his dizzying -- yet convincing -- writing on the advance of technology, the limits of biology and the future of the human species.""}",en
Peter Gabriel,"{0: ['musician', 'activist']}","{0: 'Peter Gabriel writes incredible songs but, as the co-founder of WITNESS and TheElders.org, is also a powerful human rights advocate.'}",en
 Rives,"{0: ['performance poet', 'multimedia artist']}","{0: 'Performance artist and storyteller Rives has been called ""the first 2.0 poet,"" using images, video and technology to bring his words to life. '}",en
Dean Ornish,"{0: ['physician', 'author']}","{0: ""Dean Ornish is a clinical professor at UCSF and founder of the Preventive Medicine Research Institute. He's a leading expert on fighting illness -- particularly heart disease with dietary and lifestyle changes.""}",en
Richard St. John,"{0: ['marketer', 'success analyst']}","{0: 'A self-described average guy who found success doing what he loved, Richard St. John spent more than a decade researching the lessons of success -- and distilling them into 8 words, 3 minutes and one successful book.'}",en
Robert Neuwirth,{0: ['author']},{0: 'Robert Neuwirth’s writings on the street-level reality of the developing world have opened a new dialogue on development and economics.'},en
Bjorn Lomborg,{0: ['global prioritizer']},"{0: ""Danish political scientist Bjorn Lomborg heads the Copenhagen Consensus, which has prioritized the world's greatest problems -- global warming, world poverty, disease -- based on how effective our solutions might be. It's a thought-provoking, even provocative list.""}",en
Wade Davis,"{0: ['anthropologist', 'ethnobotanist']}","{0: 'A National Geographic Explorer-in-Residence, Wade Davis has been described as “a rare combination of scientist, scholar, poet and passionate defender of all of life’s diversity.”'}",en
Phil Borges,{0: ['photographer']},"{0: ""Dentist-turned-photographer Phil Borges documents the world's disappearing cultures, capturing portraits of exiled Tibetan monks and many of the world’s embattled tribal and indigenous cultures.""}",en
Martin Rees,{0: ['astrophysicist']},"{0: ""Lord Martin Rees, one of the world's most eminent astronomers, is an emeritus professor of cosmology and astrophysics at the University of Cambridge and the UK's Astronomer Royal. He is one of our key thinkers on the future of humanity in the cosmos.""}",en
Robert Wright,"{0: ['journalist', 'philosopher']}","{0: 'The best-selling author of ""Nonzero,"" ""The Moral Animal"" and ""The Evolution of God,"" Robert Wright draws on his wide-ranging knowledge of science, religion, psychology, history and politics to figure out what makes humanity tick -- and what makes us moral. '}",en
Charles Leadbeater,{0: ['innovation consultant']},"{0: 'A researcher at the London think tank Demos, Charles Leadbeater was early to notice the rise of ""amateur innovation"" -- great ideas from outside the traditional walls, from people who suddenly have the tools to collaborate, innovate and make their expertise known.'}",en
Steven Johnson,{0: ['writer']},"{0: 'Steven Berlin Johnson examines the intersection of science, technology and personal experience.'}",en
Anna Deavere Smith,"{0: ['actor', 'playwright', 'social critic']}","{0: ""Anna Deavere Smith's ground-breaking solo shows blur the lines between theater and journalism, using text from real-life encounters to create gripping portraits.""}",en
Saul Griffith,{0: ['inventor']},"{0: 'Inventor Saul Griffith looks for elegant ways to make real things, from low-cost eyeglasses to a kite that tows boats. His latest projects include open-source inventions and elegant new ways to generate power.'}",en
Neil Gershenfeld,"{0: ['physicist', 'personal fab pioneer']}","{0: 'As Director of MIT’s Center for Bits and Atoms, Neil Gershenfeld explores the boundaries between the digital and physical worlds.'}",en
Carl Honoré,"{0: ['writer', 'thinker', 'activist']}","{0: 'Carl Honoré loves words: the way they appear on the page, the music they make when spoken and their power to change the world.'}",en
James Nachtwey,{0: ['photojournalist']},{0: 'Photojournalist James Nachtwey is considered by many to be the greatest war photographer of recent decades. He has covered conflicts and major social issues in more than 30 countries.'},en
E.O. Wilson,{0: ['biologist']},"{0: 'Biologist E.O. Wilson explores the world of ants and other tiny creatures, and writes movingly about the way all creatures great and small are interdependent.'}",en
Bill Clinton,{0: ['activist']},"{0: 'Through his William J. Clinton Foundation, former US President Bill Clinton has become a vital and innovative force for world change. He works in four critical areas: health, economic empowerment, citizen service, and reconciliation.'}",en
Dean Kamen,{0: ['inventor']},"{0: 'Dean Kamen landed in the limelight with the Segway, but he has been innovating since high school, with more than 150 patents under his belt. Recent projects include portable energy and water purification for the developing world, and a prosthetic arm for maimed soldiers.'}",en
Sheila Patek,"{0: ['biologist', 'biomechanics researcher']}","{0: ""Biologist Sheila Patek is addicted to speed -- animal speed. She's measured the fastest animal movements in the world, made by snail-smashing mantis shrimp and the snapping mandibles of trap-jaw ants.""}",en
Chris Bangle,{0: ['car designer']},"{0: 'Car design is a ubiquitous but often overlooked art form. As chief of design for the BMW Group, Chris Bangle has overseen cars that have been seen the world over, including BMW 7 Series and the Z4 roadster.'}",en
Golan Levin,{0: ['experimental audio-visual artist']},"{0: 'Half performance artist, half software engineer, Golan Levin manipulates the computer to create improvised soundscapes with dazzling corresponding visuals. He is at the forefront of defining new parameters for art.'}",en
James Watson,"{0: ['biologist', 'nobel laureate']}","{0: ""Nobel laureate James Watson took part in one of the most important scientific breakthroughs of the 20th century: the discovery of the structure of DNA. More than 50 years later, he continues to investigate biology's deepest secrets. ""}",en
Paul Bennett,"{0: ['designer; creative director', 'ideo']}","{0: 'As a creative director at Ideo, Paul Bennett reminds us that design need not invoke grand gestures or sweeping statements to be successful, but instead can focus on the little things in life, the obvious, the overlooked.'}",en
Nick Bostrom,{0: ['philosopher']},"{0: 'Nick Bostrom works on big questions: What should we do, as individuals and as a species, to optimize our long-term prospects?'}",en
Stefan Sagmeister,{0: ['graphic designer']},"{0: 'Renowned for album covers, posters and his recent book of life lessons, designer Stefan Sagmeister invariably has a slightly different way of looking at things.'}",en
Juan Enriquez,"{0: ['author', 'academic', 'futurist']}","{0: 'Juan Enriquez thinks and writes about the profound changes that genomics and brain research will bring about in business, technology, politics and society.'}",en
Janine Benyus,"{0: ['science writer', 'innovation consultant', 'conservationist']}","{0: ""A self-proclaimed nature nerd, Janine Benyus' concept of biomimicry has galvanized scientists, architects, designers and engineers into exploring new ways in which nature's successes can inspire humanity. ""}",en
Frans Lanting,{0: ['nature photographer']},"{0: ""Frans Lanting is one of the greatest nature photographers of our time. His work has been featured in National Geographic, Audubon andTime, as well as numerous award-winning books. Lanting's recent exhibition, The LIFE Project, offers a lyrical interpretation of the history of life on Earth.""}",en
Nora York,"{0: ['singer', 'performance artist']}","{0: '""Philosopher diva"" Nora York is an adventurous singer-songwriter with a drive to explore the human condition.'}",en
Al Seckel,{0: ['master of visual illusions']},{0: 'Al Seckel explored how eye tricks can reveal the way the brain processes visual information -- or fails to do so. Among his other accomplishments: He co-created the Darwin Fish.'},en
Susan Savage-Rumbaugh,{0: ['primate authority']},"{0: 'Susan Savage-Rumbaugh has made startling breakthroughs in her lifelong work with chimpanzees and bonobos, showing the animals to be adept in picking up language and other ""intelligent"" behaviors.'}",en
Alex Steffen,{0: ['planetary futurist']},"{0: ""Alex Steffen explores our planet's future, telling powerful, inspiring stories about the hard choices facing humanity ... and our opportunity to create a much better tomorrow.""}",en
Craig Venter,"{0: ['biologist', 'genetics pioneer']}","{0: ""In 2001, Craig Venter made headlines for sequencing the human genome. In 2003, he started mapping the ocean's biodiversity. And now he's created the first synthetic lifeforms -- microorganisms that can produce alternative fuels.""}",en
Vik Muniz,{0: ['artist']},"{0: ""Vik Muniz delights in subverting a viewer's expectations. He uses unexpected materials to create portraits, landscapes and still lifes, which he then photographs.""}",en
Seth Godin,{0: ['marketer and author']},{0: 'Seth Godin is an entrepreneur and blogger who thinks about the marketing of ideas in the digital age. His newest interest: the tribes we lead.'},en
Thom Mayne,{0: ['architect']},"{0: 'Founder of the influential studio Morphosis, and co-founder of the Southern California Institute of Architecture, Pritzker Prize-winning architect Thom Mayne marries conceptual ideas with form, challenging the way we perceive structure, building and the environment.'}",en
Jane Goodall,"{0: ['primatologist', 'environmentalist']}","{0: 'Jane Goodall, dubbed by her biographer ""the woman who redefined man,"" has changed our perceptions of primates, people, and the connection between the two. Over the past 45 years, Goodall herself has also evolved -- from steadfast scientist to passionate conservationist and humanitarian.'}",en
Jill Sobule,{0: ['singer/songwriter']},"{0: ""Jill Sobule isn't just another singer-songwriter with catchy tunes and smart lyrics, she's one of the more insightful satirists of our age. Each of her fanciful songs captures an issue or irony, an emotion or epiphany that helps us understand what it's like to live now.""}",en
Caroline Lavelle,{0: ['cellist; singer-songwriter']},"{0: 'Equally talented on cello and vocals, Caroline Lavelle has created a performance style all her own. Her expansive talents, channeling the best of both classical and contemporary influences, have earned her comparisons to both Kate Bush and Jacqueline du Pré. \r\n'}",en
Dan Dennett,"{0: ['philosopher', 'cognitive scientist']}",{0: 'Dan Dennett thinks that human consciousness and free will are the result of physical processes.'},en
Evelyn Glennie,{0: ['musician']},"{0: 'Percussionist and composer Dame Evelyn Glennie lost nearly all of her hearing by age 12. Rather than isolating her, it has given her a unique connection to her music.'}",en
William McDonough,{0: ['architect']},"{0: ""Architect William McDonough believes green design can prevent environmental disaster and drive economic growth. He champions “cradle to cradle” design, which considers a product's full life cycle -- from creation with sustainable materials to a recycled afterlife. ""}",en
 Rives,"{0: ['performance poet', 'multimedia artist']}","{0: 'Performance artist and storyteller Rives has been called ""the first 2.0 poet,"" using images, video and technology to bring his words to life. '}",en
Jeff Bezos,{0: ['online commerce pioneer']},"{0: 'As founder and CEO of Amazon.com, Jeff Bezos defined online shopping and rewrote the rules of commerce, ushering in a new era in business. <em>Time</em> magazine named him Man of the Year in 1999.'}",en
Eddi Reader,"{0: ['singer/songwriter'], 1: ['electronic music pioneer']}","{0: 'In her warm, glorious voice, Eddi Reader sings thoughtful songs about love, longing and introspection.', 1: 'Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""'}",en
Eddi Reader,"{0: ['singer/songwriter'], 1: ['electronic music pioneer']}","{0: 'In her warm, glorious voice, Eddi Reader sings thoughtful songs about love, longing and introspection.', 1: 'Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""'}",en
Tom Rielly,{0: ['satirist']},"{0: 'Traditionally, Tom Rielly closes the TED Conference with a merciless 18-minute monologue, skewering all the speakers with his deadpan delivery, spot-on satire and boundary-less performance (complete with PowerPoint, pratfalls and partial nudity).\r\n'}",en
Richard Dawkins,{0: ['evolutionary biologist']},"{0: 'Oxford professor Richard Dawkins has helped steer evolutionary science into the 21st century, and his concept of the ""meme"" contextualized the spread of ideas in the information age. In recent years, his devastating critique of religion has made him a leading figure in the New Atheism.'}",en
Rachelle Garniez,"{0: ['musician'], 1: ['electronic music pioneer']}","{0: 'Mischievous and deeply original, accordionist Rachelle Garniez plays her own witty songs and gives a beautiful swing to the classics.', 1: 'Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""'}",en
Tom Honey,{0: ['priest']},"{0: ""The Vicar of St David's Church, Exeter, in the UK, is unafraid to take on some of religion's tougher issues.""}",en
Chris Anderson,{0: ['drone maker']},{0: 'Chris Anderson is an authority on emerging technologies and the cultures that surround them.'},en
Natalie MacMaster,"{0: ['fiddler'], 1: ['electronic music pioneer']}","{0: 'Natalie MacMaster is a star of Cape Breton fiddling, a Canadian tradition with Scottish roots. Her energetic style and virtuoso talent has brought her star billing on the international folk circuit.', 1: 'Thomas Dolby has spent his career at the intersection of music and technology. He was an early star on MTV, then moved to Silicon Valley, then went back on the road with his album, ""A Map of the Floating City.""'}",en
Sergey Brin,"{0: ['computer scientist', 'entrepreneur and philanthropist'], 1: ['ceo of google']}","{0: 'Sergey Brin is half of the team that founded Google.', 1: 'Larry Page is the CEO and cofounder of Google, making him one of the ruling minds of the web. '}",en
 Stew,{0: ['singer/songwriter']},{0: 'Singer-songwriter Stew spins improvisatory songs drawn from his seemingly endless stable of stories and ideas. His musical Passing Strange won a Tony for Best Book in 2008.'},en
James Howard Kunstler,{0: ['social critic']},"{0: 'James Howard Kunstler may be the world’s most outspoken critic of suburban sprawl. He believes the end of the fossil fuels era will soon force a return to smaller-scale, agrarian communities -- and an overhaul of the most destructive features of postwar society.'}",en
David Kelley,"{0: ['designer', 'educator']}",{0: 'David Kelley’s company IDEO helped create many icons of the digital generation -- but what matters even more to him is unlocking the creative potential of people and organizations to innovate routinely.'},en
Stewart Brand,"{0: ['environmentalist', 'futurist']}","{0: ""Since the counterculture '60s, Stewart Brand has been creating our internet-worked world. Now, with biotech accelerating four times faster than digital technology, Stewart Brand has a bold new plan ...""}",en
Jeff Hawkins,"{0: ['computer designer', 'brain researcher']}","{0: ""Jeff Hawkins pioneered the development of PDAs such as the Palm and Treo. Now he's trying to understand how the human brain really works, and adapt its method -- which he describes as a deep system for storing memory -- to create new kinds of computers and tools.""}",en
Tierney Thys,{0: ['marine biologist']},"{0: 'Tierney Thys is a marine biologist and science educator. She studies the behavior of the Mola mola, or giant ocean sunfish -- and works with other scientists to make films that share the wonders they see.'}",en
John Doerr,{0: ['venture capitalist']},"{0: 'John Doerr is an engineer, acclaimed venture capitalist and the chairman of Kleiner Perkins.'}",en
Blaise Agüera y Arcas,{0: ['software architect']},"{0: 'Blaise Agüera y Arcas works on machine learning at Google. Previously a Distinguished Engineer at Microsoft, he has worked on augmented reality, mapping, wearable computing and natural user interfaces.'}",en
Ngozi Okonjo-Iweala,{0: ['economist']},{0: 'Ngozi Okonjo-Iweala is a respected global economist.'},en
Anand Agarawala,"{0: ['technologist', 'digital product designer']}","{0: ""Anand Agarawala's job: to imagine and build the computers you'll use in 20 years.""}",en
Robert Thurman,{0: ['buddhist scholar']},"{0: 'The first American to be ordained a Tibetan Monk by the Dalai Lama, Robert A.F. Thurman is a scholar, author and tireless proponent of peace.'}",en
David Rockwell,"{0: ['architect', 'experience designer']}","{0: 'Architect David Rockwell draws on his love of drama and spectacle to create fantastic, high-impact restaurants, cultural facilities, airline terminals, theater sets -- and playgrounds. '}",en
Thomas Barnett,{0: ['military strategist']},"{0: ""Strategic planner Thomas Barnett has advised US leaders on national security since the end of the Cold War. His bold ideas about the future of warfare and the military are spelled out in his best-selling book <em>The Pentagon's New Map.</em>""}",en
Stephen Lawler,"{0: [""general manager of microsoft's virtual earth""]}","{0: 'Stephen Lawler and the Virtual Earth team have created an addictively interactive 3D world that is poised to reinvent our view of advertising, gaming, weather/traffic reporting, instant messaging and more.'}",en
Hans Rosling,{0: ['global health expert; data visionary']},"{0: 'In Hans Rosling’s hands, data sings. Global trends in health and economics come to vivid life. And the big picture of global development -- with some surprisingly good news -- snaps into sharp focus.'}",en
Bill Stone,"{0: ['explorer', 'inventor', 'outer space dreamer']}",{0: 'Engineer and daredevil cave explorer Bill Stone is obsessed with discovery -- on Earth and beyond.'},en
Dan Dennett,"{0: ['philosopher', 'cognitive scientist']}",{0: 'Dan Dennett thinks that human consciousness and free will are the result of physical processes.'},en
Alan Russell,{0: ['medical futurist']},"{0: 'In the fight against disease, defect and injury, Alan Russell has a novel argument: Why not engineer new tissue and organs to replace sick ones?'}",en
Jonathan Harris,"{0: ['artist', 'storyteller', 'internet anthropologist']}","{0: ""Artist and computer scientist Jonathan Harris makes online art that captures the world's expression -- and gives us a glimpse of the soul of the Internet.""}",en
Emily Oster,{0: ['economist']},{0: 'Emily Oster has a history of rethinking conventional wisdom.'},en
 Rives,"{0: ['performance poet', 'multimedia artist']}","{0: 'Performance artist and storyteller Rives has been called ""the first 2.0 poet,"" using images, video and technology to bring his words to life. '}",en
Will Wright,{0: ['game designer']},"{0: 'Will Wright invented a genre of computer game that involves neither winning nor shooting, yet has generated colossal hits. Among them: SimCity (which earned its publisher $230 million), The Sims, and Spore.'}",en
David Bolinsky,{0: ['medical animator']},"{0: ""David Bolinsky and his team illustrate scientific and medical concepts with high-drama animation. You've never seen the life of a cell quite like this.""}",en
Allison Hunt,{0: ['marketing expert']},"{0: 'Allison Hunt has worked in advertising and marketing for 20 years, developing human insight and persuasion into an art for her clients. Six years after getting an artificial hip, she decided to try something new.'}",en
George Ayittey,{0: ['economist']},"{0: ""Economist George Ayittey sees Africa's future as a fight between Hippos -- complacent, greedy bureaucrats wallowing in the muck -- and Cheetahs, the fast-moving, entrepreneurial leaders and citizens who will rebuild Africa.""}",en
William Kamkwamba,{0: ['inventor']},"{0: 'To power his family\'s home, young William Kamkwamba built an electricity-producing windmill from spare parts and scrap -- starting him on a journey detailed in the book and film ""The Boy Who Harnessed the Wind.""'}",en
Ngozi Okonjo-Iweala,{0: ['economist']},{0: 'Ngozi Okonjo-Iweala is a respected global economist.'},en
Euvin Naidoo,{0: ['investment banker']},"{0: ""As leading advocate for Western Investment into Africa, BCG's Euvin Naidoo works with leading corporations and governments to strengthen trans-Atlantic economic ties.""}",en
Patrick Awuah,{0: ['university founder']},"{0: ""After working at Microsoft for almost a decade, Patrick Awuah returned home to Ghana and cofounded Ashesi University, a small liberal arts college that aims to educate Africa's next generation of leaders. Its first class of students graduated in 2006.""}",en
Chris Abani,"{0: ['novelist', 'poet']}","{0: 'Imprisoned three times by the Nigerian government, Chris Abani turned his experience into poems that Harold Pinter called ""the most naked, harrowing expression of prison life and political torture imaginable."" His novels include <em>GraceLand</em> (2004) and <em>The Virgin of Flames</em> (2007).'}",en
Jacqueline Novogratz,{0: ['investor and advocate for moral leadership']},"{0: 'Jacqueline Novogratz works to enable human flourishing. Her organization, Acumen, invests in people, companies and ideas that see capital and networks as means, not ends, to solving the toughest issues of poverty.'}",en
Vusi Mahlasela,"{0: ['musician', 'activist']}","{0: 'South African singer-songwriter Vusi Mahlasela was a crucial artistic voice during the fight against apartheid, and now in the new modern-day nation. Blending traditional African music with soul and blues, his music showcases powerful vocals and poetic lyrics.'}",en
Jeff Skoll,{0: ['producer']},"{0: 'Jeff Skoll was the first president of eBay; he used his dot-com fortune to found the film house Participant Productions, making movies to inspire social change, including <em>Syriana</em>; <em>Good Night, and Good Luck</em>; <em>Murderball</em>; <em>An Inconvenient Truth</em> ...'}",en
Dean Kamen,{0: ['inventor']},"{0: 'Dean Kamen landed in the limelight with the Segway, but he has been innovating since high school, with more than 150 patents under his belt. Recent projects include portable energy and water purification for the developing world, and a prosthetic arm for maimed soldiers.'}",en
Erin McKean,{0: ['dictionary editor']},"{0: 'As the co-founder of Reverb Technologies, the maker of the online dictionary Wordnik, Erin McKean is reshaping how we interact with language itself.'}",en
